"ID

"	State	Pcode1	County	Pcode2	Mid 2016 Population	Mid 2017 Population	CCCM	EDUCATION	FSL	HEALTH	NUTRITION	PROTECTION	SHELTER & NFIs	WASH	Total People In Need with Refugee Response	Total People In Need	Total People In Need + People In Need with Refugee Response			
26	Unity	73	Mayom	7303	183288	186577	0 	22508 	93692 	94067 	33547 	217466 	59632 	163833 	0	163833	163833			
27	Unity	73	Rubkona	7304	212248	216056	182027 	26064 	139623 	151688 	39582 	297178 	185376 	251118 	0	251118	251118			
28	Unity	73	Guit	7305	48575	49447	5116 	5965 	21228 	15053 	7067 	41547 	5466 	34857 	0	34857	34857			
29	Unity	73	Koch	7306	137630	140099	0 	16901 	104035 	90935 	20091 	158223 	46600 	105345 	0	105345	105345			
30	Unity	73	Leer	7307	117876	119991	0 	14475 	89794 	105642 	13015 	177240 	64332 	143956 	0	143956	143956			
31	Unity	73	Mayendit	7308	81896	83365	0 	10057 	69725 	78442 	12683 	113422 	37942 	83602 	0	83602	83602			
32	Unity	73	Panyijiar	7309	77464	78854	0 	9513 	67362 	70824 	9739 	136580 	56270 	105946 	0	105946	105946			
33	Warrap	81	Abyei Region	8101	73793	75117	7754 	7919 	0 	7754 	25434 	7754 	41561 	29970 	0	41561	41561			
34	Warrap	81	Twic	8102	354318	359855	0 	38024 	124012 	120328 	21455 	1924 	9449 	61350 	0	124012	124012			
35	Warrap	81	Gogrial West	8103	331990	337946	0 	35627 	146237 	114897 	24503 	3348 	10181 	103183 	0	146237	146237			
36	Warrap	81	Gogrial East	8104	147386	150030	0 	15817 	54554 	49522 	11027 	0 	0 	36007 	0	54554	54554			
37	Warrap	81	Tonj North	8105	215724	219595	0 	23150 	56445 	72483 	25447 	0 	0 	28671 	0	72483	72483			
38	Warrap	81	Tonj East	8106	137222	139684	0 	14726 	37454 	46107 	19619 	0 	0 	33949 	0	46107	46107			
39	Warrap	81	Tonj South	8107	112417	114434	0 	12064 	28304 	37772 	67324 	112417 	0 	26008 	0	67324	67324			
40	Northern Bahr el Ghazal	82	Aweil North	8201	276979	281948	0 	7871 	235774 	93065 	49749 	0 	0 	116500 	0	235774	235774			
41	Northern Bahr el Ghazal	82	Aweil East	8202	548432	558272	0 	15586 	516097 	184273 	112594 	0 	0 	270427 	0	516097	516097			
42	Northern Bahr el Ghazal	82	Aweil South	8203	149923	152613	0 	4261 	124761 	50374 	26336 	0 	0 	59437 	0	124761	124761			
43	Northern Bahr el Ghazal	82	Aweil West	8204	307797	313320	5014 	8747 	296629 	108434 	63191 	5014 	11081 	138660 	0	296629	296629			
44	Northern Bahr el Ghazal	82	Aweil Centre	8205	110416	112397	2087 	3138 	106723 	39187 	22669 	2087 	4223 	80883 	0	106723	106723			
45	Western Bahr el Ghazal	83	Raga	8301	89126	90725	0 	4700 	72266 	52146 	17577 	89045 	21040 	49116 	0	72266	72266			
46	Western Bahr el Ghazal	83	Jur River	8302	205571	209260	0 	10840 	127355 	68746 	22327 	0 	0 	37890 	0	127355	127355			
47	Western Bahr el Ghazal	83	Wau	8303	241419	245751	78733 	12730 	215357 	151896 	49448 	277721 	95458 	236092 	0	236092	236092			
48	Lakes	84	Cueibet	8401	180839	184083	0 	18907 	36512 	60966 	16700 	516 	2162 	28625 	0	60966	60966			
49	Lakes	84	Rumbek North	8402	55268	56259	0 	5778 	10822 	23027 	3793 	6221 	6562 	4389 	0	23027	23027			
50	Lakes	84	Rumbek Centre	8403	243644	248016	0 	25473 	52571 	83802 	18408 	3577 	9371 	32188 	0	83802	83802			
51	Lakes	84	Wulu	8404	74963	76308	0 	7837 	5411 	33425 	6923 	10645 	12201 	12251 	0	33425	33425			
52	Lakes	84	Rumbek East	8405	192334	195785	0 	20109 	39218 	71499 	17762 	12451 	14932 	36651 	0	71499	71499			
53	Lakes	84	Yirol West	8406	164455	167406	0 	17194 	21633 	68551 	18518 	288683 	15306 	36527 	0	68551	68551			
54	Lakes	84	Yirol East	8407	123756	125976	0 	12939 	16232 	41778 	11429 	193778 	4352 	19389 	0	41778	41778			
55	Lakes	84	Awerial	8408	59166	60227	115220 	6186 	123550 	72625 	8620 	79383 	56877 	123788 	0	123788	123788			
56	Western Equatoria	91	Tambura	9101	74874	76217	0 	13444 	0 	36549 	3215 	44375 	0 	18526 	0	36549	36549			
57	Western Equatoria	91	Nagero	9102	16071	16359	0 	2886 	2988 	5400 	690 	0 	0 	813 	0	5400	5400			
58	Western Equatoria	91	Nzara	9103	76499	77871	0 	13736 	0 	24578 	3285 	0 	0 	2415 	0	24578	24578			
59	Western Equatoria	91	Ezo	9104	105897	107643	0 	19014 	16440 	44631 	4547 	105897 	0 	30234 	10156	44631	54787			
60	Western Equatoria	91	Yambio	9105	193408	196879	0 	34727 	28392 	90039 	8305 	202713 	16712 	33718 	0	90039	90039			
61	Western Equatoria	91	Ibba	9106	49555	50444	0 	8898 	0 	16143 	2128 	0 	0 	1765 	0	16143	16143			
62	Western Equatoria	91	Maridi	9107	103915	105779	0 	18658 	0 	39404 	4462 	110815 	8216 	9789 	0	39404	39404			
63	Western Equatoria	91	Mvolo	9108	61657	62763	0 	11071 	7848 	20717 	2647 	0 	0 	2380 	0	20717	20717			
64	Western Equatoria	91	Mundri West	9109	55516	56512	0 	9968 	5604 	42530 	2384 	63407 	27967 	31694 	0	42530	42530			
65	Western Equatoria	91	Mundri East	9110	61023	62118	0 	10957 	7476 	20348 	2620 	73909 	25529 	21767 	0	25529	25529			
66	Central Equatoria	92	Terekeka	9201	182461	185735	0 	11815 	27303 	66882 	8059 	5583 	8812 	44193 	0	66882	66882			
67	Central Equatoria	92	Juba	9202	510353	519197	47575 	33047 	469780 	206766 	39432 	554696 	46607 	218747 	17714	469780	487494			
68	Central Equatoria	92	Lainya	9203	148413	151076	0 	9610 	140955 	56956 	6555 	7089 	9358 	64247 	0	140955	140955			
69	Central Equatoria	92	Yei	9204	270250	275099	0 	17500 	52157 	144689 	11936 	274750 	9813 	55629 	0	144689	144689			
70	Central Equatoria	92	Morobo	9205	195205	198707	0 	12640 	29327 	62066 	8621 	0 	0 	1987 	0	62066	62066			
71	Central Equatoria	92	Kajo-keji	9206	275083	280019	0 	17813 	40416 	92428 	12149 	9700 	14388 	3119 	0	92428	92428			
72	Eastern Equatoria	93	Torit	9301	143321	145893	0 	10662 	30059 	53156 	14580 	148321 	7941 	72539 	0	72539	72539			
73	Eastern Equatoria	93	Lafon	9302	135745	138181	0 	10098 	34923 	49883 	13809 	0 	0 	76624 	0	76624	76624			
74	Eastern Equatoria	93	Kapoeta North	9303	120170	122326	0 	8940 	31433 	40377 	9197 	0 	0 	11658 	0	40377	40377			
75	Eastern Equatoria	93	Kapoeta East	9304	191882	195325	0 	14274 	66356 	64472 	19520 	0 	0 	23997 	0	66356	66356			
76	Eastern Equatoria	93	Kapoeta South	9305	94489	96184	0 	7029 	24440 	31748 	6952 	0 	0 	9207 	0	31748	31748			
77	Eastern Equatoria	93	Budi	9306	116624	118716	0 	8676 	8582 	39186 	11864 	0 	0 	46773 	0	46773	46773			
78	Eastern Equatoria	93	Ikotos	9307	131882	134248	0 	9811 	57625 	50590 	13416 	7318 	9191 	29402 	0	57625	57625			
79	Eastern Equatoria	93	Magwi	9308	208390	212129	6000 	15502 	34134 	100233 	21199 	242678 	34053 	83836 	0	100233	100233			
																				
TOTALS					11976876	12190350	630618	1137205	4903268	5079757	1446785	7025210	1635248	4769729	302809	7171770	7474579			
